rame,motrices,mise en service,ERTMS,Remarques
302,Z 24503/504,7 mai 2004,,
306,Z 24511/512,12 juillet 2004,,
310,Z 24519/520,1 octobre 2004,,non au 13.11
313,Z 24525/526,21 octobre 2004,oui, 
324,Z 24547/548,30 janvier 2005,oui,spotté 1 fois avec conflit 387. 
326,Z 24551/552,11 février 2005,,non au 18.11
330,Z 24559/560,27 avril 2005,oui, 
335,Z 24569/570,29 juillet 2005,, 
336,Z 24571/572,12 septembre 2005,, 
338,Z 24575/576,17 février 2006,, 
340,Z 24579/580,13 février 2006,,non au 14.11
341,Z 24581/582,17 février 2006,,non au 15.11
343,Z 24585/586,6 mars 2006,,non au 14.11
344,Z 24587/588,4 mai 2006,,non au 19.11
347,Z 24593/594,14 juin 2006,,non au 14.11
362,Z 24623/624,14 décembre 2006,,non au 14.11
363,Z 24625/626,10 janvier 2007,,non au 19.11
364,Z 24627/628,15 janvier 2007,, 
365,Z 24629/630,24 janvier 2007,oui, 
369,Z 24637/638,26 février 2007,oui, 
370,Z 24639/640,23 mars 2007,,non au 14.11
384,Z 24667/668,26 mars 2008,,non au 15.11
385,Z 24669/670,14 avril 2008,, 
386,Z 24671/672,16 avril 2008,, non au 13.11
387,Z 24673/674,2 mai 2008,, non au 15.11
