Train,Heure,Quai
TGV9879,11.24,7AB
TER88525,11.39,xx
TER88727,12.09,xx
TER88729,12.16,xx
TER88527,12.39,7AB
TER88731,12.58,4AB
TER88733,13.16,4AB
TER88519,13.39,7AB
TER88735,13.58,5AB
TGV2871,14.10,9
TER88737,14.16,8CD
TER88739,14.39,7AB
TER88741,15.16,xxx
TER88743,15.39,8AB
TGV2873,16.10,7AB
TER88747,16.16,9AB
TER88531,16.39,8AB
TER88749,16.46,7AB
TER88751,16.58,5AB
TER88753,17.16,9AB
TER88811,17.28,7AB
TER88533,17.39,9AB
TER88755,17.46,xxx
TER88813,17.58,5AB
TER88759,18.09,4AB
TER88761,18.16,8AB
TER88815,18.28,5AB
TER88535,18.39,5CD
TGV2883,18.46,9
TER88763,18.58,8AB
TER88765,19.09,5AB
TER88767,19.16,
TER88769,19.39,
TER88771,20.09,5AB
TER88773,20.16,
TER88627,20.39,
TER88777,21.16,
TER88779,21.39,
TER88781,22.16,
TER88783,22.39,
